"match","status","model_used","score","base_uom","customer_review_state","base_description","base_upc","bungee_review_state","comp_img","queue_name_item_status","base_sku","base_sub_subcategory","item_status","match_id","match_date","comp_size","comp_source_store","comp_title","base_url","comp_sku_comp_source_store_base_source_store","comp_sub_subcategory","base_subcategory","comp_category","base_title","base_category","base_source_store_comp_sku_comp_source_store","base_store_name_display","base_alt_uom","comp_source_store_base_sku_base_source_store","comp_url","enqueue_index","base_dimensions","company_code","base_size","base_parent_sku","comp_brand","active","comp_description","comp_shipping_weight","comp_price","queue_name","comp_store_name_display","pair_id","base_alt_size","base_shipping_weight","comp_uom","base_sku_base_source_store_comp_source_store","comp_subcategory","match_status","comp_alt_size","comp_sku","matcher","comp_parent_sku","comp_alt_uom","base_price","comp_dimensions","base_brand","comp_upc","base_img","queue","workflowtype","answer","completed_date","time_taken","company_code_base_source_store","base_source_store","domain","year","month","day","workflow"
"exact","completed","upc","1.0","PK : Pack","unverified","759405->16 OZ CORN-BASED COMPOST CUP->PK->50","644632900583","verified","https://i5.walmartimages.com/asr/71614b8e-08cd-4f3d-bd16-37ae8d3c021a_1.fc575762c7ba72eb84559d6f63b756f4.jpeg","staples_low_confidence_upc_matches_queue_pending","759405","Breakroom","new","644632900583_759405_staples_staples<>644632900583_22427376_walmart_walmart","1684991704","1000","walmart_walmart","ECOEPCC16GS - ECO-PRODUCTS,INC. GreenStripe Cold Drink Cups","https://www.Staples.com/product_759405","22427376_walmart_walmart_staples_staples","Disposables","50 - FOOD AND BREAKROOM","Industrial & Scientific","759405->16 OZ CORN-BASED COMPOST CUP->PK->50","Breakroom (default)","staples_staples_22427376_walmart_walmart","Staples",,"walmart_walmart_759405_staples_staples","https://www.walmart.com/ip/22427376","2278",,"btfastlane","50.0",,"Eco-Products","True","ECOEPCC16GS - ECO-PRODUCTS,INC. GreenStripe Cold Drink Cups",,"202.99","staples_low_confidence_upc_matches_queue","Walmart","644632900583_759405_staples_staples<>644632900583_22427376_walmart_walmart",,,"PK : Pack","759405_staples_staples_walmart_walmart","Food Service Equipment & Supplies","product_found",,"22427376","0cdbd8af-9f4e-40a0-8fcc-f82250bfb16a","22427376",,,,"Eco-Products","644632900583",,"staples_low_confidence_upc_matches_queue","upc_transitive_queue","not_a_match","2023-05-31T10:16:37+00:00","153","btfastlane_staples_staples","staples_staples",,"2023","05","31","staples_low_confidence_upc_matches_queue"
"exact","completed","ml-V2.0","0.8331333","PK : Pack","unverified","24408522->HP 952XL BLK/CMY INK  5PACK->PK->5","193905448036","verified","https://media.officedepot.com/images/f_auto,q_auto,e_sharpen,h_450/products/856132/856132_o01_041422/856132","staples_weekly_top_10k_v2_abv_80_pending","24408522","Ink and Toner","new","193905448036_24408522_staples_staples<>-_856132_officedepot_officedepot","1695637815","1","officedepot_officedepot","HP 902XL High-Yield Black Ink Cartridge, T6M14AN | ","https://www.Staples.com/product_24408522","856132_officedepot_officedepot_staples_staples",,"27 - INK/LASER PRINTER CARTRDG","Computers & Accessories","HP 952XL Black/Cyan/Magenta/Yellow High Yield Ink Cartridge, 5/Pack (6ZA00AN#140) | 6ZA00AN#140","Tech","staples_staples_856132_officedepot_officedepot","Staples",,"officedepot_officedepot_24408522_staples_staples","https://www.officedepot.com/a/products/856132","441",,"btfastlane","5.0",,"HP","True","Print office memos, reports, flyers and presentations in crisp, bold black with this 902XL high-yield ink cartridge. Designed for high-quality prints when used with your compatible printer or all-in-one machine, .this HP ink cartridge helps you tackle high-volume print jobs and enjoy fewer replacements and downtime in the process.  Compatible HP models: OfficeJet: 6950, 6951, 6954, 6958, 6962 OfficeJet Pro: 6960, 6961, 6963, 6964, 6965, 6966, 6968, 6970, 6971, 6974, 6975, 6976, 6978, 6979 Yields up to 750 pages. Prints resist water and are made to last. The information contained herein is subject to change without notice. The only warranties for HP products and services are set forth in the express warranty statements accompanying such products and services. Nothing herein should be construed as constituting an additional warranty. HP shall not be liable for technical or editorial errors or omissions contained herein. Eco-conscious choice — has one or more meaningful eco-attributes or eco-labels. Helps Avoid Waste — Designed for extended use, helping reduce or eliminate material use and potentially save money. Recycling solution — designed to encourage recycling, helping you divert materials from landfill.",,"0.0","staples_weekly_top_10k_v2_abv_80","Officedepot","193905448036_24408522_staples_staples<>-_856132_officedepot_officedepot",,,"PK : Pack","24408522_staples_staples_officedepot_officedepot","Ink & Toner","product_found",,"856132","265664e8-a8ce-4693-b078-b43721e4b7b8",,,,,"HP","-",,"staples_weekly_top_10k_v2_abv_80","customer_queue","unsure","2023-09-28T04:59:14+00:00","117","btfastlane_staples_staples","staples_staples","office_supplies","2023","09","28","staples_weekly_top_10k_v2_abv_80"
"exact","completed","upc","0.98828125","EA : Each","unverified","RGE PSTR KIND WRDS R THE MUSIC","78628672619","verified","https://i5.walmartimages.com/asr/33c6058d-a202-4e78-9920-969b6af2746b.1ee36865c7f54f9775a19b4087710eb8.jpeg","staples_high_confidence_special_cat_upc_matches_queue_pending","631948","Desks and Collections","new","78628672619_631948_staples_staples<>078628672619_182649016_walmart_walmart","1665505715","1","walmart_walmart","Kind words are the music... ARGUS Poster, 13.375 Inch x 19 Inch","https://www.quill.com/search?keywords=253684","182649016_walmart_walmart_staples_staples","Wall Art","11","Home","Trend® Educational Classroom Posters, Kind words are the music…","Office Supplies","staples_staples_182649016_walmart_walmart","Staples",,"walmart_walmart_631948_staples_staples","https://www.walmart.com/ip/182649016","222",,"btfastlane","1.0",,"Argus","True","Capture students' attention and get them talking about life with powerful, positive messages. ARGUS Posters encourage kids to act in positive ways and show respect for themselves and others. For more than 50 years, these posters have been the popular choice for all ages. Relevant messages. Durable and reusable. Dynamic graphics and photos. Measures 13.375  x 19 .",,"8.09","staples_high_confidence_special_cat_upc_matches_queue","Walmart","78628672619_631948_staples_staples<>078628672619_182649016_walmart_walmart",,,"EA : Each","631948_staples_staples_walmart_walmart","Decor","product_found",,"182649016","adc14aa3-7768-4c8c-a09b-987d944ebcac","182649016",,,,"NB","078628672619",,"staples_high_confidence_special_cat_upc_matches_queue","upc_transitive_queue","unsure","2022-10-17T02:57:25+00:00","18","btfastlane_staples_staples","staples_staples",,"2022","10","17","staples_high_confidence_special_cat_upc_matches_queue"
"exact","completed","ml-V2.0","0.9408022","Pack","unverified","About This ItemDetailsOfficially licensed pet football jersey features your favorite team's official name and colors.Made from 100% satin and breathable poly mesh in a lightweight, comfortable design for your dog or cat.Woven trim on the neck and sleeves creates a tailored fit that looks just like a real NFL jersey.Back of the jersey features a stitched NFL jock tag with an area for personalization.Machine washable so your NFL fan is always looking her best; makes a great gift for sports-loving pet parents!See MoreRemember to measure your pet for the paw-fect fit. Let your four-legged mascot show some love for her favorite football player with the Pets First NFL Mesh Dog & Cat Jersey. She’ll be ready for game day in this jersey sporting the official colors and name of the team you choose. Made from 100% satin and breathable poly mesh, this jersey also features woven trim on the neck and sleeves for a comfortable, tailored fit so she never breaks a sweat during those big plays. The NFL “property of” jock tag on the back allows you to add a touch of style and personalization, because win or lose, she’ll still be your MVP—Most Valuable Pet, that is!SpecificationsItem Number331129Sport TeamGreen Bay PackersSeasonYear-RoundBreed SizeMedium BreedsBack Length14-18 in.Neck Size10-16 in.Chest Girth15-20 in.MaterialPolyester, Synthetic FabricRecommended Pet WeightUp to 25 lbsDisclaimersFor your pet's safety, please supervise your pet while wearing.Printable Measuring TapeCloseCloseInstructionsMachine wash cold with like colors, hang to dry.CloseSizeFor the best fit, match the below dimensions to your pet's measurements as closely as possible. If your pet falls somewhere between two sizes, we advise ordering the larger of the two.Body: Measure the base of the neck to the base of the tail. Add 2 inches for comfort.Neck: Measure around your dog's neck leaving room for two fingers.Chest: Most important measurement; measure your dog's chest around the widest part. Add 2 inches for comfort.Jersey SizeBack LengthChestX-Small6-9 inches10-13 inchesSmall9-12 inches13-15 inchesMedium14-18 inches15-20 inchesLarge20-24inches20-25 inchesX-Large22-26 inches25-30 inchesXX-Large24-28 inches30-35 inchesPrintable Measuring TapeCloseLearn More About Pets First From Our Team of Experts","849790113800","verified","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91WEFBS2njL._AC_UX569_.jpg","chewy_adhoc_customer_queue_Image_Comp_Focus_Mapping_110823_pending","331129","Apparel & People Products","new","849790113800_331129_chewy_chewy<>-_b0055fe3mg_amazon_amazon","1699904512","1.0","amazon_amazon","Pets First NFL Pets NFL Jerseys, GreenBayPackers - Medium - GreenBayPackers","https://www.chewy.com/dp/357388","b0055fe3mg_amazon_amazon_chewy_chewy","Pet Gear","Dog","Sports & Outdoors","Pets First NFL Dog & Cat Mesh Jersey, Green Bay Packers, Medium","Hard Goods","chewy_chewy_b0055fe3mg_amazon_amazon","Chewy",,"amazon_amazon_331129_chewy_chewy","https://www.amazon.com/dp/B0055FE3MG?th=1&psc=1","1241",,"btfastlane","1.0","331115","Pets First","True","Do you have a CAT or DOG that also want to be part of the game? You can finally dress your dog cute & fashionable and get ready for Game-Day with this high-end NFL licensed PET JERSEY! Designed to fit your pet with maximum comfort and durability!!! This unique DOG JERSEY features a screen-printed NAME & NUMBER of your favorite football team in vibrant team colors! Our Licensed NFL JERSEYS also feature a woven NFL label for your dog's name! A perfect and cool jersey for all sports fans, or as a gift to your loved ones! Designed using durable satin & mesh jersey materials just like the pros! Available to choose from all 32 NFL teams Sizing: This sports PET JERSEY comes in 7 sizes; X-Small, Small, Medium, Large, X-Large, XX-Large & XXX-Large. For sizing specifications, please refer to the size chart located in image #2 or #3, and measure your dog from the nape of the neck to the base of the tail. Choose your size and your favorite NFL FOOTBALL TEAM player and Add to Cart Now as your Four-legged fan isn't able to purchase on Amazon but is waiting on you to place the order!! Pets First Overview: Pets First has established itself as the largest sports-licensed pet product company in the country. @ Pets First we provide every pet owner with premium licensed pet products. From unique & colorful apparel items to fun & playful accessories & toys We follow the highest standards of safety guidelines to ensure your pet's security, while providing a long-lasting product. Working with the latest technology, our creative designers choose from the highest quality materials to provide durable, unique and innovative pet merchandise. PETS FIRST Licenses: Major League Baseball (MLB) & Major League Baseball Players Association (MLBPA) National Football League (NFL) & National Football League Players Association (NFLPA) National Basketball Association (NBA) National Hockey League (NHL) Realtree (RT) Real Madrid (RM) MLS Soccer LAURDIY - For all Lauren Riihimaki's fans & folloers Over 50 of the top colleges in the country (NCAA) Football & Basketball Pet owners want to be proud of the team gear their pet wears. That's what we had in mind when we designed our pet apparels. Our NCAA, NFL, NFLPA, MLB, MLBPA, NBA, NHL, MLS, LaurDIY and Realtree apparel are made of satin and poly-mesh fabric. Each jersey, hoodie, and shirt has the team logo and wordmark screenprinted, along with a league approved number. Our Products: Pets First is known as the source for pet products. The depth of product offering from Pets First is unparalleled in the sports-licensed pet product industry. Pets first continually strives to build on its success & gain market share by developing and executing sought-after products that pet owners feel confident purchasing for their pets. When you are a pet owner YOU ARE PART OF THE PETS FIRST FAMILY! <><> Sports & Outdoors || Fan Shop || Pet Gear || Pet Clothing || Pet Jerseys",,"0.0","chewy_adhoc_customer_queue_Image_Comp_Focus_Mapping_110823","Amazon","849790113800_331129_chewy_chewy<>-_b0055fe3mg_amazon_amazon",,"1.0","Each","331129_chewy_chewy_amazon_amazon","Fan Shop","product_found",,"b0055fe3mg","2ea5e66d-e4dc-47e4-9e39-477b067affaa","B0BHR7YHGT",,,,"Pets First","-","https://img.chewy.com/is/image/catalog/331129_MAIN._1631912483_.jpg","chewy_adhoc_customer_queue_Image_Comp_Focus_Mapping_110823","customer_queue","unsure","2023-12-15T08:54:16+00:00","17","btfastlane_chewy_chewy","chewy_chewy","pets","2023","12","15","chewy_adhoc_customer_queue_Image_Comp_Focus_Mapping_110823"
"exact","completed","ml-V2.0","0.8099494","Inch","unverified","About This ItemDetailsSuper cute bat wings costume designed to get cats and dogs in on the Halloween fun.Plush straps with hook-and-loop fasteners at the neck and belly for your pet’s comfort.Fits a variety of neck sizes, please be sure to measure before purchasing.Press the center button to release the miniature, authentic SeatBelt Buckle.See MoreFrisco Bat Wings Dog & Cat Costume, X-Small/Small — Transform your pet from furry friend to creature of the night with the Frisco Bat Wings Dog & Cat Costume! This simple (and so cute) costume features felt and satin wings that stick out perfectly, with glittery accents for a little extra flash. It’s easy to put on, too, with hook-and-loop fasteners at the neck and belly that help them stay comfy while they’re in the spirit of the season. Whether you’re dressing for a party, a photo op or a trick-or-treat trot, these wings will send your pet soaring to the height of Halloween cuteness.Buckle-Down Batman Shield Polyester Dog Collar, Small: 9.5 to 13-in neck, 1-in wide — Remember to measure your pet for the paw-fect fit. Vibrant artwork and high-density polyester and durable steel components combine to make the Buckle-Down Batman Shield Polyester Dog Collar. Your pup will be stepping out in style that's built to last in this collar, which includes a miniature, authentic SeatBelt Buckle, making for easy quick release.SpecificationsItem Number638566SeasonHalloweenBreed SizeExtra Small Breeds, Small BreedsClosure TypeBuckle, Hook & LoopCollar TypeStandardCollar Width1 inchBack Lengthn-aNeck Size9 to 13 inches, 9.5-13 inchesChest Girth13 to 17 inchesFeaturesN/AMaterialPolyester, Synthetic FabricRecommended Pet WeightUp to 100 poundsCloseCloseBundle IncludesFrisco Bat Wings Dog & Cat Costume, X-Small/SmallRated 4.7059 out of 5 stars17ReviewsBuckle-Down Batman Shield Polyester Dog Collar, Small: 9.5 to 13-in neck, 1-in wideRated 4 out of 5 stars4Reviews","-","verified","https://m.media-amazon.com/images/I/71cqEObckwL._AC_SL1500_.jpg","chewy_customer_queue_low_performance_0if_v2_pending","638566","Virtual Bundle","new","-_638566_chewy_chewy<>-_b099nlc5l3_amazon_amazon","1702298427","1.0","amazon_amazon","Dog Halloween Costumes, Halloween Pet Dog Cat Bat Wings Small Dog Chihuahua Halloween Costumes Party Decoration Halloween Accessories (Small), batwings","https://www.chewy.com/dp/638566","b099nlc5l3_amazon_amazon_chewy_chewy","Apparel & Accessories","Virtual Bundle","Pet Supplies","Frisco Bat Wings Dog & Cat Costume, X-Small/Small + Buckle-Down Batman Shield Dog Collar, Small: 9.5 to 13-in neck, 1-in wide","Virtual Bundle","chewy_chewy_b099nlc5l3_amazon_amazon","Chewy",,"amazon_amazon_638566_chewy_chewy","https://www.amazon.com/dp/B099NLC5L3?th=1&psc=1","28173",,"btfastlane","13.0","638366","Sebaoyu","True","About this item ➤ Halloween Fashion Design ➤ Designed look like the wing of bat, Small-Neck:11.81 in,Bust:13 in,fit for 2.2-7.7 lb dogs, the pet wing and pumpkin bells will be a hit in pets' party.when your cat wears this bat wings, and will become cool and mysterious. The bat wings brings endless fun to your cat and you on Halloween.Make your pet puppy more cute and shining star in crowd.Halloween dog clothes halloween dog sweater halloween dog pajamas halloween dog costumes ➤ Soft Material ➤ Halloween bat wings is made of 5 mm thick felt cloth to keep the shape of the bat for a long time, This bat wings will keep stand up. lightweight and soft felt fabric makes the cat comfortable to wear, no sense of restraint. ➤ Dog Halloween Costumes Size ➤ Dragon wings for dogs have 3 adjustable bat wings size(S/M/L).dog halloween costumes fit small medium large breed and cat.such as :chihuahua / pomeranian / pugs / maltese / shih tzu puppy / poodle / mini dachshund / maltipoo / Boston terrier puppy / yorkie / toy poodle / french bulldog puppy / miniature poodle / min pin and so on. ➤ Convenient Wear and Take Off Design ➤ This pet bat wings have two felt belts, top one for wearing on the neck and the bottom one for wearing on the chest, can be adjusted to well fit different pets. The neck and chest of costume is designed with user-friendly to make it convenient to adjust suitable size for cats or puppy, easy to wear and take off. ➤ Halloween Dog Costumes ➤ Cat halloween costumes cat toys dog halloween costumes halloween accessories halloween stuff halloween cat toys puppy halloween costumes cat halloween costume small dog pet costumes for small dogs chihuahua halloween costumes medium dogs <><> Pet Supplies || Dogs || Apparel & Accessories || Costumes",,"0.0","chewy_customer_queue_low_performance_0if_v2","Amazon","-_638566_chewy_chewy<>-_b099nlc5l3_amazon_amazon",,,"Each","638566_chewy_chewy_amazon_amazon","Dogs","product_found",,"b099nlc5l3","111566da-d3d1-4652-8388-d7a1ff15178f","B099NMLVG2",,,"‎ 3.94 x 3.94 x 0.59 inches","Frisco||Buckle-Down","-","https://image.chewy.com/is/image/catalog/638566_MAIN._1663249111_.jpg","chewy_customer_queue_low_performance_0if_v2","customer_queue","not_a_match","2023-12-18T09:50:51+00:00","9","btfastlane_chewy_chewy","chewy_chewy","pets","2023","12","18","chewy_customer_queue_low_performance_0if_v2"
"exact","completed","upc","1.0","EA : Each","unverified","917768->OFFWRKS MBL TRNG TBL 18X60 MY->EA->1","674785680582","verified","https://content.etilize.com/350//1017869246.jpg","staples_low_confidence_upc_matches_queue_pending","917768","Transactional Furniture","new","674785680582_917768_staples_staples<>674785680582_5637220090_wbmason_wbmason","1696330795","1.0","wbmason_wbmason","Iceberg OfficeWorks Mobile Training Table, 60w x 18d x 29h, Mahogany/Black | ","https://www.Staples.com/product_917768","5637220090_wbmason_wbmason_staples_staples","Tables & Bases","15 - Tables","Furniture","Iceberg Officeworks? Rectangular Mobile Training Table, Mahogany, 29"""" | 68058","Furniture","staples_staples_5637220090_wbmason_wbmason","Staples",,"wbmason_wbmason_917768_staples_staples","https://www.wbmason.com/ProductDetail.aspx?ItemDesc=Iceberg-OfficeWorks-Mobile-Training-Table-60w-x-18d-x-29h-Mahogany-Black&ItemID=ICE68058&uom=EA&COID=&SearchID=1013641502&ii=164","134",,"btfastlane","1.0",,"Iceberg","True","Functional, durable mobile training tables easily reconfigure to improve meeting productivity. Wear-resistant melamine top resists moisture and hot/cold temperatures. Includes perforated steel modesty panel. Strong, 1-1/2  offset dual legs for maximum legroom. Two locking casters and two non-locking casters for improved navigation over transoms.",,"499.99","staples_low_confidence_upc_matches_queue","Wbmason","674785680582_917768_staples_staples<>674785680582_5637220090_wbmason_wbmason",,,"EA : Each","917768_staples_staples_wbmason_wbmason","DESKS & TABLES","product_found",,"5637220090","8caf2977-a9f8-4542-871d-9f2c2f980939","ICE68058",,,"60w x 18d x 29h","ICEBERG","674785680582",,"staples_low_confidence_upc_matches_queue","upc_transitive_queue","unsure","2023-10-03T11:48:41+00:00","15","btfastlane_staples_staples","staples_staples","office_supplies","2023","10","03","staples_low_confidence_upc_matches_queue"
"exact","completed","upc","1.0","n/a","unverified","Ninety-Five Percent Turkey Grain-Free Canned Dog Food Topper","076344894032","verified","https://image.chewy.com/is/image/catalog/49199_MAIN._1668099809_.jpg","feederssupply_low_confidence_upc_transitive_matches_queue_pending","70709",,"new","076344894032_70709_feederssup_feederssup<>0076344894032_49199_chewy_chewy","1689080640","n/a","chewy_chewy","Wellness Ninety-Five Percent Turkey Grain-Free Canned Dog Food, 13.2-oz, case of 12","https://feederspetsupply.com/product_70709","49199_chewy_chewy_feederssup_feederssup","Core Food","PRE CAN DOG","Consumables","CS WELLNESS GF CAN DOG TURKEY 95%","Dog","feederssup_feederssup_49199_chewy_chewy","Feederssup",,"chewy_chewy_70709_feederssup_feederssup","https://www.chewy.com/dp/34380","245",,"btfastlane","1.0","70709:4:2","Wellness","True","Settle your sidekick’s sensitive stomach with Wellness 95% Turkey Canned Dog Food. This natural, grain-free wet food for dogs is cooked in the can to lock-in freshness and taste. It is packed with premium, single-ingredient protein from high-quality turkey without any meat by-products, wheat, corn, soy, artificial preservatives, colors or flavors. This limited-ingredient wet dog food is crafted to be served as a savory snack, tasty topper or mixed in with other food. It is formulated by nutritionists, veterinarians and animal lovers to provide a balance of nature’s finest ingredients for the benefit of your furry buddy.","11.65","48.96","feederssupply_low_confidence_upc_transitive_matches_queue","Chewy","076344894032_70709_feederssup_feederssup<>0076344894032_49199_chewy_chewy",,,"n/a","70709_feederssup_feederssup_chewy_chewy","Dog","product_found",,"49199","087bc92d-ef73-436f-a6ba-5f5c875312f2","46410",,,,"WELLNESS","0076344894032",,"feederssupply_low_confidence_upc_transitive_matches_queue","upc_transitive_queue","unsure","2023-07-12T06:39:49+00:00","44","btfastlane_feederssup_feederssup","feederssup_feederssup",,"2023","07","12","feederssupply_low_confidence_upc_transitive_matches_queue"
"equivalent","completed","btfastlane-ml-V2.0","0.8311508","PK : Pack","unverified","24343769->POST-IT EASEL PAD WHITE 3PK->PK->3","00638060269053","verified","https://c1.neweggimages.com/ProductImage/A389_1_20190123670731753.jpg","staples_weekly_v2_abv_80_high_performance_0if_pending","24343769","Office Supplies","new","00638060269053_24343769_staples_staples<>-_9sia25v9124796_newegg_newegg","1689040278","4","newegg_newegg","3M - 559VAD4PK - Post-it 559 VAD 4PK - Easel pad - 25 in x 30 in - 30 sheets - white - plain (pack of 4)","https://www.Staples.com/product_24343769","9sia25v9124796_newegg_newegg_staples_staples","Laminating & Binding","82 - School & Art Supplies","Office Solutions","24343769->POST-IT EASEL PAD WHITE 3PK->PK->3","Office Supplies","staples_staples_9sia25v9124796_newegg_newegg","Staples",,"newegg_newegg_24343769_staples_staples","https://www.newegg.com/p/2W5-0012-000A1","59",,"btfastlane","3.0",,"3M","True","These repositionable sheets stick to most surfaces and can be removed easily without causing damage. Easel Pad, Plan, 30 In., White, PK4",,"134.93","staples_weekly_v2_abv_80_high_performance_0if","Newegg","00638060269053_24343769_staples_staples<>-_9sia25v9124796_newegg_newegg",,,"PK : Pack","24343769_staples_staples_newegg_newegg","Office Machines & Equipment","product_found",,"9sia25v9124796","2ea5e66d-e4dc-47e4-9e39-477b067affaa","9SIA25V9124796",,,"25 in x 30 in ","Post-it","-",,"staples_weekly_v2_abv_80_high_performance_0if","customer_queue","not_a_match","2023-07-11T06:52:48+00:00","62","btfastlane_staples_staples","staples_staples",,"2023","07","11","staples_weekly_v2_abv_80_high_performance_0if"
"exact","completed","btfastlane-ml-V2.0","0.9425893","EA : Each","unverified","273160->16OZ ACRYLIC PAINT - BLACK->EA->1","N/A","verified","https://www.zoro.com/static/cms/product/large/Unbeatablesale Inc_rtl146734xx650xx3010d2.jpeg","staples_weekly_v2_abv_80_pending","273160","Office Supplies","new","N_A_273160_staples_staples<>-_g404174663_zoro_zoro","1690912337","1","zoro_zoro","16Oz Acrylic Paint - Black | ","https://www.Staples.com/product_273160","g404174663_zoro_zoro_staples_staples",,"82 - School & Art Supplies","Office, School & Shipping Supplies","273160->16OZ ACRYLIC PAINT - BLACK->EA->1 | SAR242485","Office Supplies","staples_staples_g404174663_zoro_zoro","Staples",,"zoro_zoro_273160_staples_staples","https://www.zoro.com/sargent-art-inc-16oz-acrylic-paint-black-sar242485/i/G404174663/","4",,"btfastlane","1.0",,"Sargent Art Inc","True","Features:Product type - Acrylic PaintColor - BlackCapacity - 16 Oz.",,"49.8","staples_weekly_v2_abv_80","Zoro","N_A_273160_staples_staples<>-_g404174663_zoro_zoro",,,"EA : Each","273160_staples_staples_zoro_zoro","Arts & Crafts","product_found",,"g404174663","062921f6-d627-444f-ba1a-aa7c35a19804","G404174663",,,,"Sargent Art","-",,"staples_weekly_v2_abv_80","customer_queue","not_a_match","2023-08-03T04:13:24+00:00","73","btfastlane_staples_staples","staples_staples",,"2023","08","03","staples_weekly_v2_abv_80"
"exact","completed","btfastlane-ml_v1.0","0.8046875","n/a","unverified","**Remember to measure your pet for the paw-fect fit.** Help your four-legged friend stay clean and comfortable with the Waterproof w/Riveted Name Plate Dog Collar from Mimi Green! Featuring a personalized nameplate, this waterproof dog collar helps guard against odors and dirt, so you never need to worry about your dog returning home in a mess. It features polyester webbing on the inside with PVC coating to protect against moisture, abrasions, rotting and general stink. Plus, it has a great leather look that doesn’t require the constant maintenance of genuine leather.","068729463087","verified","https://i.etsystatic.com/5209931/r/il/1b187e/1757403793/il_fullxfull.1757403793_capm.jpg","chewy_cherry_etsy_groom_queue_pending","628966","Personalized","new","068729463087_628966_chewy_chewy<>-_636328187:1818171190:1446384911_etsy_etsy","1682407251","10.0","etsy_etsy","Waterproof Dog Collar w Engraved Riveted NAMEPLATE StinkProof, Dirt Resistant, Sporting & Hunting Dog, Swimming Collar, Leather Alternative, Blanca | Silver, 5/8 W x 7 - 10 L","https://www.chewy.com/dp/628966","636328187:1818171190:1446384911_etsy_etsy_chewy_chewy","Pet Collars & Jewelry","Dog","Pet Supplies","Mimi Green Waterproof w/Riveted Name Plate Dog Collar, Blanca, Small 5/8”","Hard Goods","chewy_chewy_636328187:1818171190:1446384911_etsy_etsy","Chewy",,"etsy_etsy_628966_chewy_chewy","https://www.etsy.com/listing/636328187/waterproof-dog-collar-w-engraved-riveted?variation0=1818171190&variation1=1446384911","24928","11.0INH(L) x 0.62INH(W)","btfastlane","n/a","628310","shopmimigreen","True","Our waterproof soft grip dog collars are stink proof, stain resistant, & vegetarian / vegan friendly! Great for hunting, swimming or any other activity where a collar could get dirty or stinky!  Best part?  No more jingling tag!    * *Fitted with a highly polished stainless steel or brass closure    * Has a great leather look without the maintenance of leather    * Solid cast brass and cast chrome plated d-rings    * Available in Black, Brown (which look most like real leather) plus Pink, Purple & Blue, and more!    * Handmade in the Mimi Green studios, New Mexico, USA    * Engraving is guaranteed to never wear off!    * Collar is easy to clean, weather resistant and stays flexible even in freezing temperatures    * Note: Please double check for accuracy as engraved buckle collars are not returnable nor exchangeable.Flaunt your pooch’s one-of-a-kind style with this specialty dog collar from Mimi Green!-------------MORE ∙ FROM ∙ MIMI GREEN-------------Matching leash here: https://www.etsy.com/listing/623970232/waterproof-dog-leash-stinkproof-dirt?ga_search_query=waterproof&ref=shop_items_search_4&crt=1",,"41.99","chewy_cherry_etsy_groom_queue","Etsy","068729463087_628966_chewy_chewy<>-_636328187:1818171190:1446384911_etsy_etsy",,"0.01","Liter","628966_chewy_chewy_etsy_etsy","Pet Collars & Leashes","product_found",,"636328187:1818171190:1446384911","0cdbd8af-9f4e-40a0-8fcc-f82250bfb16a","636328187",,"36.99",,"Mimi Green","-","https://image.chewy.com/is/image/catalog/628966_MAIN._1676046587_.jpg","chewy_cherry_etsy_groom_queue","customer","not_a_match","2023-05-03T10:27:02+00:00","137","btfastlane_chewy_chewy","chewy_chewy",,"2023","05","03","chewy_cherry_etsy_groom_queue"
